Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status
Male,Yes,Graduate,Yes,1906,674,1,Rural,Not Approved
Female,Yes,Not Graduate,No,10706,303,0,Rural,Not Approved
Female,No,Graduate,No,5931,679,1,Semiurban,Approved
Male,Yes,Graduate,No,23127,612,0,Semiurban,Not Approved
Male,Yes,Graduate,Yes,8042,475,1,Rural,Approved
Female,Yes,Not Graduate,Yes,24820,596,1,Urban,Approved
Male,Yes,Graduate,No,10406,351,0,Urban,Not Approved
Female,Yes,Not Graduate,Yes,5646,630,1,Rural,Approved
Female,No,Graduate,Yes,13546,398,0,Semiurban,Not Approved
Female,Yes,Not Graduate,Yes,14111,98,1,Rural,Approved
Female,Yes,Not Graduate,Yes,14576,123,1,Rural,Approved
Female,Yes,Graduate,No,18024,310,0,Semiurban,Not Approved
Male,Yes,Not Graduate,No,6382,405,1,Rural,Approved
Male,Yes,Graduate,No,15613,631,1,Rural,Approved
Female,No,Not Graduate,Yes,15145,651,0,Rural,Not Approved
Female,Yes,Graduate,No,7512,309,0,Semiurban,Not Approved
Male,No,Graduate,No,18847,687,1,Urban,Approved
Male,No,Not Graduate,Yes,8651,344,1,Urban,Approved
Female,Yes,Graduate,Yes,5110,690,1,Semiurban,Approved
Male,Yes,Graduate,No,11384,362,0,Urban,Not Approved
Female,Yes,Not Graduate,No,8394,661,0,Rural,Not Approved
Male,Yes,Graduate,No,14967,231,1,Urban,Approved
Female,No,Graduate,No,17989,413,0,Rural,Not Approved
Male,Yes,Not Graduate,Yes,23423,237,0,Urban,Not Approved
Female,Yes,Not Graduate,No,11373,618,0,Semiurban,Not Approved
Male,Yes,Graduate,No,13789,592,1,Urban,Approved
Male,Yes,Graduate,Yes,13708,645,1,Urban,Approved
Female,Yes,Not Graduate,No,12328,597,1,Urban,Approved
Male,Yes,Not Graduate,Yes,24671,457,1,Semiurban,Approved
Female,No,Graduate,Yes,3637,667,1,Urban,Not Approved
Male,No,Not Graduate,Yes,22329,463,1,Semiurban,Approved
Female,Yes,Graduate,No,21414,391,0,Rural,Not Approved
Male,Yes,Graduate,No,2786,269,1,Urban,Not Approved
Female,Yes,Graduate,Yes,17210,212,1,Semiurban,Approved
Male,No,Graduate,No,12871,269,1,Semiurban,Approved
Female,Yes,Graduate,No,17445,319,1,Urban,Approved
Male,No,Not Graduate,Yes,8552,681,1,Rural,Approved
Female,Yes,Not Graduate,Yes,5154,449,0,Semiurban,Not Approved
Female,Yes,Not Graduate,No,24986,231,1,Urban,Approved
Female,Yes,Not Graduate,Yes,20243,667,1,Rural,Approved
Male,Yes,Graduate,No,17100,254,1,Semiurban,Approved
Female,No,Graduate,No,10136,631,1,Semiurban,Approved
Male,No,Graduate,No,7941,605,1,Rural,Approved
Female,Yes,Graduate,No,22931,277,0,Rural,Not Approved
Male,Yes,Not Graduate,Yes,23087,668,1,Urban,Approved
Female,No,Graduate,Yes,11167,645,0,Urban,Not Approved
Male,No,Graduate,Yes,13649,299,1,Semiurban,Approved
Male,No,Not Graduate,Yes,3298,490,1,Rural,Not Approved
Female,No,Not Graduate,No,11100,582,1,Rural,Approved
Male,Yes,Not Graduate,No,23175,245,1,Rural,Approved
Male,No,Not Graduate,Yes,6995,568,1,Semiurban,Approved
Female,Yes,Graduate,No,11400,119,0,Rural,Not Approved
Male,No,Graduate,No,15173,688,1,Rural,Approved
Male,No,Not Graduate,No,12630,448,0,Semiurban,Not Approved
Male,No,Graduate,Yes,24168,252,1,Urban,Approved
Female,No,Graduate,Yes,16722,197,0,Urban,Not Approved
Male,No,Graduate,Yes,2800,521,0,Semiurban,Not Approved
Female,Yes,Not Graduate,No,24753,248,1,Rural,Approved
Male,Yes,Graduate,Yes,10935,475,0,Semiurban,Not Approved
Male,No,Not Graduate,Yes,20981,541,1,Urban,Approved
Male,No,Graduate,Yes,6116,191,1,Urban,Approved
Female,Yes,Graduate,Yes,17893,362,0,Semiurban,Not Approved
Male,No,Graduate,Yes,12117,214,1,Semiurban,Approved
Male,No,Not Graduate,Yes,7252,363,0,Urban,Not Approved
Female,Yes,Graduate,No,11352,70,0,Semiurban,Not Approved
Male,No,Not Graduate,No,7795,131,1,Urban,Approved
Female,No,Not Graduate,Yes,22699,630,0,Semiurban,Not Approved
Female,Yes,Not Graduate,Yes,18956,180,1,Semiurban,Approved
Male,Yes,Graduate,No,4725,648,0,Semiurban,Not Approved
Female,Yes,Graduate,No,2816,354,0,Urban,Not Approved
Male,No,Graduate,Yes,23583,420,1,Semiurban,Approved
Female,Yes,Graduate,Yes,13837,433,1,Urban,Approved
Female,Yes,Not Graduate,Yes,8307,494,0,Urban,Not Approved
Male,Yes,Not Graduate,Yes,24558,474,1,Semiurban,Approved
Female,Yes,Not Graduate,No,5183,210,0,Semiurban,Not Approved
Female,Yes,Graduate,Yes,8727,227,1,Urban,Approved
Female,Yes,Not Graduate,Yes,4773,678,1,Urban,Approved
Female,No,Graduate,Yes,24884,539,1,Rural,Approved
Female,No,Not Graduate,Yes,1645,376,1,Urban,Not Approved
Male,Yes,Graduate,No,6510,647,1,Rural,Approved
Female,Yes,Graduate,No,17535,338,1,Rural,Approved
Male,Yes,Not Graduate,No,4540,642,1,Rural,Approved
Female,No,Not Graduate,Yes,11154,622,1,Semiurban,Approved
Male,No,Not Graduate,Yes,18366,622,0,Semiurban,Not Approved
Male,No,Not Graduate,No,21063,403,1,Urban,Approved
Female,No,Graduate,Yes,19133,77,1,Rural,Approved
Female,No,Not Graduate,Yes,18514,92,1,Semiurban,Approved
Female,No,Not Graduate,No,16496,472,1,Semiurban,Approved
Male,No,Not Graduate,No,17836,647,1,Semiurban,Approved
Female,No,Graduate,No,10353,226,0,Semiurban,Not Approved
Male,No,Graduate,No,13195,578,0,Semiurban,Not Approved
Male,Yes,Not Graduate,Yes,4352,659,1,Rural,Approved
Male,Yes,Graduate,Yes,17514,543,1,Rural,Approved
Female,Yes,Not Graduate,No,2487,247,1,Rural,Not Approved
Female,Yes,Graduate,Yes,9122,659,1,Rural,Approved
Male,No,Graduate,No,10660,626,1,Urban,Approved
Male,No,Graduate,No,18984,566,1,Rural,Approved
Female,Yes,Graduate,Yes,8152,563,0,Semiurban,Not Approved
Male,No,Not Graduate,No,8921,71,0,Rural,Not Approved
Female,Yes,Not Graduate,Yes,22900,161,1,Urban,Approved
Male,No,Not Graduate,Yes,2269,106,1,Semiurban,Not Approved
Female,Yes,Graduate,Yes,19227,115,0,Rural,Not Approved
Male,No,Not Graduate,Yes,15614,147,1,Rural,Approved
Female,No,Not Graduate,No,5858,193,1,Rural,Approved
Male,Yes,Not Graduate,Yes,24664,484,1,Semiurban,Approved
Female,No,Graduate,No,24486,686,1,Semiurban,Approved
Female,Yes,Graduate,No,13043,135,1,Urban,Approved
Male,Yes,Graduate,No,20233,637,0,Semiurban,Not Approved
Male,Yes,Not Graduate,No,7199,393,1,Semiurban,Approved
Female,Yes,Not Graduate,Yes,19125,343,1,Rural,Approved
Male,No,Not Graduate,Yes,2625,620,0,Semiurban,Not Approved
Female,No,Graduate,No,12293,699,1,Rural,Approved
Male,No,Graduate,No,8264,660,1,Rural,Approved
Female,Yes,Not Graduate,Yes,22985,292,1,Semiurban,Approved
Female,No,Graduate,No,13823,610,1,Urban,Approved
Female,Yes,Graduate,Yes,14531,81,0,Urban,Not Approved
Female,No,Graduate,No,15552,440,1,Semiurban,Approved
Female,No,Graduate,Yes,14140,326,1,Urban,Approved
Female,No,Not Graduate,No,9343,581,1,Rural,Approved
Male,Yes,Graduate,No,15710,203,0,Rural,Not Approved
Male,No,Graduate,Yes,17956,432,1,Semiurban,Approved
Male,No,Graduate,No,23356,117,1,Urban,Approved
Female,Yes,Graduate,No,11606,263,0,Urban,Not Approved
Female,No,Not Graduate,Yes,6689,425,0,Rural,Not Approved
Female,Yes,Not Graduate,No,3972,262,1,Semiurban,Not Approved
Female,No,Graduate,Yes,18591,128,1,Urban,Approved
Male,Yes,Graduate,Yes,19688,677,1,Semiurban,Approved
Male,Yes,Graduate,No,8204,653,1,Urban,Approved
Female,No,Graduate,No,5213,430,1,Rural,Approved
Male,Yes,Graduate,No,6551,107,1,Rural,Approved
Male,Yes,Graduate,No,12256,75,0,Semiurban,Not Approved
Female,Yes,Not Graduate,No,3975,496,1,Rural,Not Approved
Male,Yes,Graduate,No,5110,115,0,Urban,Not Approved
Female,Yes,Not Graduate,No,5755,303,1,Rural,Approved
Male,Yes,Not Graduate,Yes,15984,93,0,Semiurban,Not Approved
Female,No,Graduate,No,3235,146,0,Semiurban,Not Approved
Female,Yes,Not Graduate,Yes,9758,603,1,Semiurban,Approved
Female,Yes,Not Graduate,No,9479,276,0,Urban,Not Approved
Female,No,Not Graduate,No,3928,485,1,Urban,Not Approved
Male,No,Not Graduate,Yes,13845,650,0,Urban,Not Approved
Female,No,Not Graduate,No,8926,428,1,Urban,Approved
Female,No,Not Graduate,No,10033,227,1,Urban,Approved
Female,No,Graduate,Yes,6749,476,0,Rural,Not Approved
Male,No,Not Graduate,No,23175,356,0,Urban,Not Approved
Female,No,Not Graduate,No,20701,553,1,Urban,Approved
Male,Yes,Not Graduate,No,21758,317,1,Rural,Approved
Female,Yes,Graduate,Yes,11186,635,1,Urban,Approved
Male,No,Not Graduate,No,15609,57,1,Semiurban,Approved
Male,Yes,Graduate,No,22095,557,1,Urban,Approved
Female,Yes,Not Graduate,No,2161,525,0,Urban,Not Approved
Male,Yes,Graduate,No,13575,346,1,Semiurban,Approved
Female,No,Graduate,Yes,16288,213,1,Semiurban,Approved
Female,No,Not Graduate,Yes,11560,534,1,Semiurban,Approved
Female,Yes,Not Graduate,No,17336,646,1,Semiurban,Approved
Male,No,Graduate,No,12026,121,1,Urban,Approved
Male,Yes,Not Graduate,Yes,4874,616,1,Semiurban,Approved
Female,Yes,Graduate,Yes,1707,608,1,Semiurban,Not Approved
Female,Yes,Graduate,No,4165,287,1,Rural,Approved
